n,training_time
1855,30.0652
1856,18.5734
1857,40.0727
1858,20.0841
1859,30.0398
1860,23.4722
1861,24.3446
1862,19.0557
1863,27.0781
1864,22.3739
1865,23.7611
1866,25.9624
1867,32.9162
1868,20.0178
1869,20.0848
1870,20.0701
1871,18.6374
1872,29.9387
1873,39.9499
1874,16.7767
1875,27.495
1876,29.7958
1877,32.5931
1878,17.1176
1879,29.341
1880,38.0563
1881,29.9971
1882,30.0078
1883,30.2496
1884,32.2144
1885,40.0705
1886,22.4077
1887,25.1445
1888,28.8633
1889,28.0702
1890,22.5219
1891,26.2486
1892,19.9331
1893,29.1898
1894,18.5571
1895,26.3044
1896,33.8232
1897,20.0129
1898,30.008
1899,20.0747
1900,20.009
1901,32.5968
1902,39.9993
1903,29.6802
1904,30.6883
1905,40.0595
1906,21.5643
1907,29.9996
1908,19.9213
1909,26.7509
1910,20.0284
1911,25.1001
1912,24.9167
1913,22.5215
1914,28.7504
1915,42.0171
1916,29.1624
1917,26.6653
1918,30.379
1919,23.0038
1920,25.0975
1921,24.2259
1922,28.9038
1923,30.4558
1924,31.8487
1925,20.0073
1926,32.7044
